,color,model,name,brand,releaseDate,sku,retailPrice($),averageTransaction,totalTransactions,medianTransaction,averagePremiumPrice(%),medianProfit,medianPremiumPrice(%),releaseRank,Collab,hasBlack,hasWhite,hasRed,hasYellow,hasBlue,hasGreen,hasGrey
0,Yecheil/Yecheil/Yecheil,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),adidas,2019-12-20,4a33ef38-2497-4229-8b28-c2fea95cc17c,220.0,290.0338044868122,24494,282.0,31.83,62.0,28.18,53.0,1,0,0,0,0,0,0,0
1,White/Core Black/Red,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Zebra,adidas,2017-02-25,e90e1888-61f0-4681-8379-a4706e491235,220.0,415.80583661701166,77535,348.0,89.0,128.0,58.18,8.0,1,1,1,1,0,0,0,0
2,Yeezreel/Yeezreel/Yeezreel,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),adidas,2019-12-14,8d28737c-ac8a-45fb-a371-d17dc8cd3c99,220.0,257.69944195190646,9232,257.0,17.14,37.0,16.82,49.0,1,0,0,0,0,0,0,0
4,Cloud White/Cloud White/Cloud White,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective),adidas,2019-09-21,4b68f73c-94d2-452e-b88a-8d350d1f5aa1,220.0,285.03114075921366,36090,276.0,29.56,56.0,25.45,44.0,1,0,1,0,0,0,0,0
5,Citrin/Citrin/Citrin,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),adidas,2019-09-23,7f0d5482-19b2-4602-a4c0-cddc67b55928,220.0,248.92077220052892,22281,245.0,13.15,25.0,11.36,47.0,1,0,0,0,0,0,0,0
6,Cream White/Cream White,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Cream/Triple White,adidas,2017-04-29,49c52f79-b1c5-4200-9792-b9d55f67a76f,220.0,342.28163787701453,86303,285.0,55.58,65.0,29.55,9.5,1,0,1,0,0,0,0,0
8,Lundmark/Lundmark/Lundmark,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),adidas,2019-07-13,e48d453e-373c-4777-bf9b-6c541ad97d48,220.0,308.8638970985457,46425,309.0,40.39,89.0,40.45,40.0,1,0,0,0,0,0,0,0
15,Sesame/Sesame/Sesame,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Sesame,adidas,2018-11-23,3774e829-99f4-46d6-bb94-f9e19ad55ad3,220.0,286.48167496594147,39638,272.0,30.22,52.0,23.64,15.0,1,0,0,0,0,0,0,0
16,Clay/Clay/Clay,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Clay,adidas,2019-03-30,53b933ec-9b64-43a2-9d08-2a8bec05e364,220.0,359.09555707092284,53621,357.0,63.23,137.0,62.27,21.0,1,0,0,0,0,0,0,0
22,Semi Frozen Yellow/Raw Steel/Red,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Semi Frozen Yellow,adidas,2017-11-18,d16d221d-f7f0-4f00-895c-0f4009abc223,220.0,349.74414628147593,35861,290.0,58.97,70.0,31.82,11.0,1,0,0,1,1,0,0,0
25,Black/Black/Black,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Static Black (Reflective),adidas,2019-06-06,e3de02a4-3958-420e-814d-e49b78536116,220.0,1129.3909957252195,5357,1000.0,413.36,780.0,354.55,26.0,1,1,0,0,0,0,0,0
26,Static/Static/Static,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Static (Non-Reflective),adidas,2018-12-27,fcdd291b-cd65-4e82-b57f-4ca2b478e153,220.0,332.4332644620876,37785,316.0,51.11,96.0,43.64,17.0,1,0,0,0,0,0,0,0
28,Butter/Butter/Butter,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Butter,adidas,2018-06-30,a7754530-c667-41cf-86ca-5baba88ae428,220.0,270.1162622772918,55566,267.0,22.78,47.0,21.36,14.0,1,0,0,0,0,0,0,0
29,Antlia/Antlia/Antlia,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),adidas,2019-06-22,8772ba8e-bce6-4284-a622-5523b3a00b56,220.0,346.02481873765794,13673,342.0,57.28,122.0,55.45,34.5,1,0,0,0,0,0,0,0
32,Synth/Synth/Synth,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Synth (Non-Reflective),adidas,2019-06-22,b572c5e5-cb7d-4c11-9193-ee9b85a32ed2,220.0,410.90514662108893,3803,419.0,86.78,199.0,90.45,34.5,1,0,0,0,0,0,0,0
34,Grey/Bold Orange/Dark Grey,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Beluga 2.0,adidas,2017-11-25,7f8f68d3-d834-400e-beb1-0f4b5c004682,220.0,413.6145270323847,47924,402.0,88.01,182.0,82.73,12.0,1,0,0,0,0,0,0,1
36,Blue Tint/Grey Three/High Risk Red,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Blue Tint,adidas,2017-12-16,d0a19f59-1f0d-41b4-83a6-08b920f22b45,220.0,384.71506064336114,42651,380.0,74.87,160.0,72.73,13.0,1,0,0,1,0,1,0,1
40,Glow/Glow/Glow,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Glow,adidas,2019-05-25,efbae46f-340b-4d77-88af-aa8dba033e71,250.0,494.3629673797719,11499,488.0,97.75,238.0,95.2,24.0,1,0,0,0,0,0,0,0
41,Static/Static/Static,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Static Reflective,adidas,2018-12-26,de269650-4228-4581-bdec-42a0dbb8f535,220.0,547.2281896358552,21420,496.0,148.74,276.0,125.45,16.0,1,0,0,0,0,0,0,0
42,Grey/Grey/Grey,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Trfrm,adidas,2019-03-16,e2b9e006-6c72-49ad-b7a3-bedc99d1d361,220.0,418.6680692747731,15733,417.0,90.3,197.0,89.55,18.5,1,0,0,0,0,0,0,1
46,Core Black/Core Black/Red,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Black Red,adidas,2017-02-11,185ecb6f-2402-467c-8db4-c846bf8cdb7a,220.0,758.7844604125314,11587,755.0,244.9,535.0,243.18,6.5,1,1,0,1,0,0,0,0
50,Grey/Grey/Grey,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Hyperspace,adidas,2019-03-16,b460e68b-8639-4555-8c60-7fc51bec7e13,220.0,449.93363852669466,3896,449.0,104.52,229.0,104.09,18.5,1,0,0,0,0,0,0,1
51,Steeple Gray/Beluga/Solar Red,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Beluga,adidas,2016-09-24,cc3f95f8-899c-4a97-a9ea-6e375385381b,220.0,818.477802631579,8132,780.0,272.04,560.0,254.55,1.0,1,0,0,1,0,0,0,0
52,Core Black/Red/Core Black,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Core Black Red,adidas,2016-11-23,ef63b9c9-6102-4d4b-bce5-1b1a8b4cbce1,220.0,880.7744210232557,4300,890.0,300.35,670.0,304.55,3.0,1,1,0,1,0,0,0,0
102,Black/Black/Black,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Black (Non-Reflective),adidas,2019-06-07,1990015c-2bd3-4748-a042-42ab4e0c2581,220.0,402.7177911289964,85616,393.0,83.05,173.0,78.64,28.0,1,1,0,0,0,0,0,0
103,Yecheil/Yecheil/Yecheil,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Yecheil (Reflective),adidas,2019-12-19,c06e93aa-98bf-4c3f-b9dc-5b5a34506564,250.0,463.5713763227021,2665,461.0,85.43,211.0,84.4,51.0,1,0,0,0,0,0,0,0
104,Yeezreel/Yeezreel/Yeezreel,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Yeezreel (Reflective),adidas,2019-12-17,df4b9e18-ba7d-47c2-a67d-78a9e3c3cf2b,250.0,399.19346279985666,2793,396.0,59.68,146.0,58.4,50.0,1,0,0,0,0,0,0,0
123,Yecheil/Yecheil/Yecheil,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2 Yecheil (Kids),adidas,2019-12-20,6ddb9f95-2385-4a36-a8d5-d88098d322a1,160.0,262.25297057522124,452,258.0,63.91,98.0,61.25,53.0,1,0,0,0,0,0,0,0
